station_number,station_name,station_type,easting,northing,ngr,local_authority,sampling_datetime,sampling_reason,reason_group,sampling_medium,sampling_mechanism,parameter_shortname,parameter_name,sample_value,coded_value,unit_symbol,method_name,sampling_year
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-02-16 12:20:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,180,"Orthophosphate, reactive as P",0.014,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-02-16 12:20:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,348,"Phosphorus, Total as P",0.0349,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-02-16 12:20:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,116,"Nitrogen, Total Oxidised as N",0.42,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-02-16 12:20:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,9901,"Oxygen, Dissolved, % Saturation",103.7,,%,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-02-16 12:20:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,77,Conductivity at 25 C,236.7,,µS/cm,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-02-16 12:20:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,3169,pH : In Situ,8.19,,scalar,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-02-16 12:20:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,76,Temperature of Water,8.3,,°C,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-02-16 12:20:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,162,Alkalinity to pH 4.5 as CaCO3,94.0,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-02-16 12:20:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,118,Nitrite as N,0.001,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-03-14 14:49:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,111,Ammoniacal Nitrogen as N,0.0144,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-03-14 14:49:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,348,"Phosphorus, Total as P",0.0429,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-03-14 14:49:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,116,"Nitrogen, Total Oxidised as N",0.49,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-03-14 14:49:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,9901,"Oxygen, Dissolved, % Saturation",103.7,,%,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-03-14 14:49:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,77,Conductivity at 25 C,172.2,,µS/cm,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-03-14 14:49:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,162,Alkalinity to pH 4.5 as CaCO3,71.6,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-03-14 14:49:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,3169,pH : In Situ,8.0,,scalar,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-03-14 14:49:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,76,Temperature of Water,8.5,,°C,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-03-14 14:49:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,118,Nitrite as N,0.001,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-03-14 14:49:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,180,"Orthophosphate, reactive as P",0.004,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-04-03 13:23:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,180,"Orthophosphate, reactive as P",0.0075,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-04-03 13:23:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,111,Ammoniacal Nitrogen as N,0.0098,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-04-03 13:23:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,116,"Nitrogen, Total Oxidised as N",1.15,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-04-03 13:23:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,77,Conductivity at 25 C,216.5,,µS/cm,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-04-03 13:23:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,3169,pH : In Situ,8.12,,scalar,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-04-03 13:23:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,76,Temperature of Water,9.5,,°C,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-04-03 13:23:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,162,Alkalinity to pH 4.5 as CaCO3,93.6,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-04-03 13:23:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,9901,"Oxygen, Dissolved, % Saturation",98.8,,%,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-04-03 13:23:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,118,Nitrite as N,0.001,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-04-03 13:23:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,348,"Phosphorus, Total as P",0.02,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-05-15 11:47:12,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,111,Ammoniacal Nitrogen as N,0.0083,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-05-15 11:47:12,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,348,"Phosphorus, Total as P",0.0304,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-05-15 11:47:12,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,116,"Nitrogen, Total Oxidised as N",0.43,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-05-15 11:47:12,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,9901,"Oxygen, Dissolved, % Saturation",105.2,,%,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-05-15 11:47:12,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,162,Alkalinity to pH 4.5 as CaCO3,107.0,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-05-15 11:47:12,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,76,Temperature of Water,11.1,,°C,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-05-15 11:47:12,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,77,Conductivity at 25 C,238.7,,µS/cm,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-05-15 11:47:12,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,3169,pH : In Situ,8.38,,scalar,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-05-15 11:47:12,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,118,Nitrite as N,0.001,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-05-15 11:47:12,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,180,"Orthophosphate, reactive as P",0.004,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-06-01 11:34:34,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,111,Ammoniacal Nitrogen as N,0.011,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-06-01 11:34:34,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,348,"Phosphorus, Total as P",0.0362,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-06-01 11:34:34,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,116,"Nitrogen, Total Oxidised as N",0.58,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-06-01 11:34:34,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,76,Temperature of Water,14.8,,°C,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-06-01 11:34:34,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,162,Alkalinity to pH 4.5 as CaCO3,141.0,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-06-01 11:34:34,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,77,Conductivity at 25 C,300.8,,µS/cm,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-06-01 11:34:34,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,3169,pH : In Situ,8.37,,scalar,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-06-01 11:34:34,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,9901,"Oxygen, Dissolved, % Saturation",98.2,,%,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-06-01 11:34:34,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,118,Nitrite as N,0.001,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-06-01 11:34:34,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,180,"Orthophosphate, reactive as P",0.004,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-07-31 12:10:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,111,Ammoniacal Nitrogen as N,0.0104,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-07-31 12:10:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,348,"Phosphorus, Total as P",0.0575,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-07-31 12:10:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,116,"Nitrogen, Total Oxidised as N",0.28,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-07-31 12:10:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,76,Temperature of Water,12.9,,°C,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-07-31 12:10:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,77,Conductivity at 25 C,170.7,,µS/cm,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-07-31 12:10:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,3169,pH : In Situ,7.85,,scalar,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-07-31 12:10:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,162,Alkalinity to pH 4.5 as CaCO3,75.1,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-07-31 12:10:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,9901,"Oxygen, Dissolved, % Saturation",97.9,,%,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-07-31 12:10:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,118,Nitrite as N,0.001,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-07-31 12:10:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,180,"Orthophosphate, reactive as P",0.004,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-08-22 10:30:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,180,"Orthophosphate, reactive as P",0.0042,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-08-22 10:30:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,111,Ammoniacal Nitrogen as N,0.008,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-08-22 10:30:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,348,"Phosphorus, Total as P",0.0344,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-08-22 10:30:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,116,"Nitrogen, Total Oxidised as N",0.41,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-08-22 10:30:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,9901,"Oxygen, Dissolved, % Saturation",103.6,,%,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-08-22 10:30:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,162,Alkalinity to pH 4.5 as CaCO3,105.0,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-08-22 10:30:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,76,Temperature of Water,13.2,,°C,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-08-22 10:30:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,3169,pH : In Situ,8.02,,scalar,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-08-22 10:30:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,118,Nitrite as N,0.001,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-09-25 11:34:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,180,"Orthophosphate, reactive as P",0.0046,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-09-25 11:34:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,111,Ammoniacal Nitrogen as N,0.0105,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-09-25 11:34:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,348,"Phosphorus, Total as P",0.0559,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-09-25 11:34:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,116,"Nitrogen, Total Oxidised as N",0.33,,mg/l,Low,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-09-25 11:34:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,76,Temperature of Water,11.6,,°C,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-09-25 11:34:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,77,Conductivity at 25 C,167.0,,µS/cm,Field,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-09-25 11:34:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,3169,pH : In Situ,7.84,,scalar,Field,2023
